869644,0.73,-0.20,10.77,22.32,101504.05,98.70
869744,0.74,-0.19,10.74,22.32,101504.05,98.70
869844,0.73,-0.18,10.71,22.32,101504.05,98.70
869910,0.78,-0.18,10.71,22.32,101504.05,98.70,4339.0254N,7926.2510W
869944,0.81,-0.20,10.64,22.32,101504.05,98.70
870044,0.78,-0.20,10.71,22.32,101504.16,98.70
870144,0.77,-0.14,10.68,22.32,101504.16,98.70
870244,0.74,-0.15,10.67,22.32,101504.16,98.70
870344,0.73,-0.14,10.67,22.32,101504.16,98.70
870444,0.72,-0.13,10.69,22.32,101504.16,98.70
870544,0.72,-0.22,10.69,22.32,101504.00,98.71
870644,0.75,-0.16,10.66,22.32,101504.00,98.71
870744,0.72,-0.14,10.72,22.32,101504.00,98.71
870844,0.80,-0.18,10.72,22.32,101504.00,98.71
870900,0.71,-0.20,10.68,22.32,101504.00,98.71,4339.0254N,7926.2505W
870944,0.77,-0.12,10.79,22.33,101504.06,98.70
871044,0.75,-0.11,10.69,22.33,101504.06,98.70
871144,0.79,-0.18,10.62,22.33,101504.06,98.70
871244,0.72,-0.16,10.65,22.33,101504.06,98.70
871344,0.72,-0.15,10.69,22.33,101504.06,98.70
871444,0.72,-0.22,10.66,22.33,101504.17,98.69
871544,0.77,-0.20,10.72,22.33,101504.17,98.69
871644,0.74,-0.16,10.74,22.33,101504.17,98.69
871744,0.76,-0.20,10.71,22.33,101504.17,98.69
871844,0.76,-0.14,10.61,22.33,101504.17,98.69
871893,0.74,-0.14,10.74,22.33,101504.41,98.67,4339.0254N,7926.2505W
871944,0.80,-0.17,10.72,22.33,101504.41,98.67
872044,0.71,-0.13,10.59,22.33,101504.41,98.67
872144,0.77,-0.13,10.69,22.33,101504.41,98.67
872244,0.76,-0.13,10.80,22.33,101504.41,98.67
872344,0.73,-0.16,10.77,22.33,101504.41,98.67
872444,0.78,-0.19,10.73,22.33,101504.67,98.65
872544,0.77,-0.11,10.62,22.33,101504.67,98.65
872644,0.83,-0.13,10.66,22.33,101504.67,98.65
872744,0.77,-0.13,10.81,22.33,101504.67,98.65
872844,0.72,-0.18,10.69,22.34,101504.74,98.65
872890,0.74,-0.17,10.78,22.34,101504.74,98.65,4339.0254N,7926.2505W
872944,0.72,-0.11,10.63,22.34,101504.74,98.65
873044,0.71,-0.14,10.73,22.34,101504.74,98.65
873144,0.77,-0.14,10.83,22.34,101504.74,98.65
873244,0.77,-0.18,10.75,22.34,101504.74,98.65
873344,0.79,-0.14,10.67,22.34,101504.68,98.65
873444,0.72,-0.13,10.73,22.34,101504.68,98.65
873544,0.75,-0.20,10.76,22.34,101504.68,98.65
873644,0.75,-0.19,10.77,22.34,101504.68,98.65
